Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.14      0.00     0.00     0.00     0.00       15  Hash#initialize_copy
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Request#content_type
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.13      0.00     0.00     0.00     0.00        2  ActionController::StatusCodes#interpret_status
  0.12      0.00     0.00     0.00     0.00       15  Array#empty?
  0.12      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#handler_for_rescue
  0.12      0.00     0.00     0.00     0.00        3  Kernel#dup
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Request#path
  0.12      0.00     0.00     0.00     0.00        1  Array#select
  0.12      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.12      0.00     0.00     0.00     0.00        7  Kernel#String
  0.12      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.12      0.00     0.00     0.00     0.00        1  Mime::Type#=~
  0.12      0.01     0.00     0.00     0.01        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.12      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.12      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_release
  0.12      0.00     0.00     0.00     0.00       10  Fixnum#==
  0.12      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_exit
  0.11      0.02     0.00     0.00     0.02        1  ActionController::Integration::Runner#get
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.11      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47Users47mlubarsky4746rvm47gems47ruby45146846745p30247gems47actionpack452463461047lib47action_controller47templates47rescues47layout46erb
  0.11      0.00     0.00     0.00     0.00       12  String#to_s
  0.11      0.00     0.00     0.00     0.00        2  <Class::Rack::Utils::HeaderHash>#new
  0.11      0.00     0.00     0.00     0.00        2  Array#map!
  0.11      0.00     0.00     0.00     0.00        4  ActionController::Request#request_method
  0.11      0.00     0.00     0.00     0.00        2  ActionController::Request#parameters
  0.11      0.00     0.00     0.00     0.00        1  MonitorMixin::ConditionVariable#signal
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Renderable#compile
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Base#template_format
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts
  0.11      0.00     0.00     0.00     0.00        7  Hash#each_pair
  0.10      0.00     0.00     0.00     0.00        1  Time#strftime
  0.10      0.00     0.00     0.00     0.00        1  String#gsub
  0.10      0.00     0.00     0.00     0.00        1  HashWithIndifferentAccess#merge
  0.10      0.00     0.00     0.00     0.00        1  MonitorMixin#synchronize
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.10      0.01     0.00     0.00     0.01        1  Rack::Head#call
  0.10      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Response#prepare!
  0.10      0.00     0.00     0.00     0.00       10  Array#size
  0.10      0.00     0.00     0.00     0.00        8  Hash#initialize
  0.10      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.10      0.00     0.00     0.00     0.00        3  Object#present?
  0.10      0.00     0.00     0.00     0.00        2  ActionController::Session::AbstractStore::OptionsHash#[]
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.10      0.00     0.00     0.00     0.00        4  Rack::Request#initialize
  0.10      0.00     0.00     0.00     0.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.10      0.00     0.00     0.00     0.00       10  Kernel#==
  0.09      0.00     0.00     0.00     0.00        4  String#sub!
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Rescue#template_path_for_local_rescue
  0.09      0.00     0.00     0.00     0.00        5  ActionController::Base#request
  0.09      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#call
  0.09      0.00     0.00     0.00     0.00        9  Kernel#instance_variable_set
  0.09      0.00     0.00     0.00     0.00        2  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.08      0.00     0.00     0.00     0.00        4  ActionController::StringCoercion::UglyBody#method_missing
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render_without_template_tracking
